datetime,storage_value,elev,avgt,pcpn,day_since_pcpn,storage-1,storage-2,storage-3,storage-4,storage-5,storage-6,storage-7,storage-8,storage-9,storage-10,storage-11,storage-12,storage-13,storage-14
2010-01-01,62640.0,708.99,53.6,0.0,1,62640.0,62640.0,62640.0,62640.0,62640.0,62640.0,62640.0,62640.0,62640.0,62640.0,62640.0,62640.0,62640.0,62640.0
2010-01-02,62650.0,709.0,57.2,0.0,2,62640.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0
2010-01-03,62650.0,709.0,59.7,0.0,3,62650.0,62640.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0
2010-01-04,62650.0,709.0,61.8,0.0,4,62650.0,62650.0,62640.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0,62650.0
2010-01-05,62630.0,708.98,58.2,0.0,5,62650.0,62650.0,62650.0,62640.0,62630.0,62630.0,62630.0,62630.0,62630.0,62630.0,62630.0,62630.0,62630.0,62630.0
2010-01-06,62630.0,708.98,58.4,0.0,6,62630.0,62650.0,62650.0,62650.0,62640.0,62630.0,62630.0,62630.0,62630.0,62630.0,62630.0,62630.0,62630.0,62630.0
2010-01-07,62630.0,708.98,57.0,0.0,7,62630.0,62630.0,62650.0,62650.0,62650.0,62640.0,62630.0,62630.0,62630.0,62630.0,62630.0,62630.0,62630.0,62630.0
2010-01-08,62620.0,708.97,56.6,0.0,8,62630.0,62630.0,62630.0,62650.0,62650.0,62650.0,62640.0,62620.0,62620.0,62620.0,62620.0,62620.0,62620.0,62620.0
2010-01-09,62620.0,708.97,61.8,0.0,9,62620.0,62630.0,62630.0,62630.0,62650.0,62650.0,62650.0,62640.0,62620.0,62620.0,62620.0,62620.0,62620.0,62620.0
2010-01-10,62620.0,708.97,61.3,0.0,10,62620.0,62620.0,62630.0,62630.0,62630.0,62650.0,62650.0,62650.0,62640.0,62620.0,62620.0,62620.0,62620.0,62620.0
2010-01-11,62620.0,708.97,60.7,0.0,11,62620.0,62620.0,62620.0,62630.0,62630.0,62630.0,62650.0,62650.0,62650.0,62640.0,62620.0,62620.0,62620.0,62620.0
2010-01-12,62610.0,708.96,61.6,0.0,12,62620.0,62620.0,62620.0,62620.0,62630.0,62630.0,62630.0,62650.0,62650.0,62650.0,62640.0,62610.0,62610.0,62610.0
2010-01-13,62620.0,708.97,58.2,0.0,13,62610.0,62620.0,62620.0,62620.0,62620.0,62630.0,62630.0,62630.0,62650.0,62650.0,62650.0,62640.0,62620.0,62620.0
2010-01-14,62640.0,708.99,50.4,0.0,14,62620.0,62610.0,62620.0,62620.0,62620.0,62620.0,62630.0,62630.0,62630.0,62650.0,62650.0,62650.0,62640.0,62640.0
2010-01-15,62620.0,708.97,53.7,0.0,15,62640.0,62620.0,62610.0,62620.0,62620.0,62620.0,62620.0,62630.0,62630.0,62630.0,62650.0,62650.0,62650.0,62640.0
2010-01-16,62610.0,708.96,57.1,0.0,16,62620.0,62640.0,62620.0,62610.0,62620.0,62620.0,62620.0,62620.0,62630.0,62630.0,62630.0,62650.0,62650.0,62650.0
2010-01-17,62610.0,708.96,55.1,0.0,17,62610.0,62620.0,62640.0,62620.0,62610.0,62620.0,62620.0,62620.0,62620.0,62630.0,62630.0,62630.0,62650.0,62650.0
